,Topics
0,"[('sound', 0.31102284618531484, 1.0), ('quality', 0.16826025455741297, 1.0), ('bass', 0.09197239404320705, 1.0), ('good', 0.04151047436950147, 1.0), ('great', 0.029970142311514757, 1.0), ('price', 0.014835694845066881, 1.0), ('clear', 0.013752741704317, 1.0), ('heavy', 0.013511520297428747, 1.0), ('deep', 0.008573428297207713, 1.0), ('amazing', 0.008566661274254761, 1.0)]"
1,"[('music', 0.0521484322781223, 1.0), ('microphone', 0.046392989258348116, 1.0), ('mic', 0.04057209575719729, 1.0), ('voice', 0.040487845053052515, 1.0), ('listen', 0.03716463238113662, 1.0), ('hear', 0.034096206465499795, 1.0), ('speak', 0.020107051353654662, 1.0), ('phone', 0.017695074900374273, 1.0), ('talk', 0.016387385074996985, 1.0), ('listening', 0.010529549993504465, 1.0)]"
2,"[('battery', 0.5287682654031158, 1.0), ('life', 0.3532950407464399, 1.0), ('long', 0.34626164469000387, 1.0), ('forever', 0.011830479215183255, 1.0), ('hour', 0.006923238949312716, 1.0), ('period', 0.002543063623287962, 1.0), ('percentage', 0.0006485489069972784, 1.0), ('drain', 0.0006358979060175889, 1.0), ('usage', 0.00048720027633718157, 1.0), ('batter', 0.00047881896984935707, 1.0)]"
3,"[('touch', 0.1165071109268607, 1.0), ('tap', 0.06541641265358226, 1.0), ('pause', 0.04659453144406442, 1.0), ('song', 0.03244966662482157, 1.0), ('track', 0.030387437653428693, 1.0), ('skip', 0.027943119627602778, 1.0), ('sensor', 0.013633337934150952, 1.0), ('double', 0.010715168342542724, 1.0), ('change', 0.003542080760334131, 1.0), ('pauseplay', 0.0028825290577470645, 1.0)]"
4,"[('control', 0.17574445158679622, 1.0), ('touch', 0.10519146586506528, 1.0), ('button', 0.07156954892100235, 1.0), ('sensitive', 0.027823414183240157, 1.0), ('sensor', 0.012450143296422515, 1.0), ('volume', 0.012007025863022318, 1.0), ('responsive', 0.005745293071719037, 1.0), ('app', 0.005229164745885708, 1.0), ('press', 0.0039223594786355455, 1.0), ('adjust', 0.003166433471043956, 1.0)]"
5,"[('noise', 0.6670422026948403, 1.0), ('cancel', 0.2668110700894465, 1.0), ('cancellation', 0.13517804935490602, 1.0), ('cancelation', 0.033737258788122074, 1.0), ('background', 0.009496466412795728, 1.0), ('block', 0.0077632968265958875, 1.0), ('active', 0.005954780985507293, 1.0), ('feature', 0.004301707721938434, 1.0), ('ambient', 0.003853299636853695, 1.0), ('reduction', 0.003444275017885394, 1.0)]"
6,"[('charge', 0.46060019653237677, 1.0), ('long', 0.3297728911440777, 1.0), ('fast', 0.05986037029958384, 1.0), ('quickly', 0.03998285103122196, 1.0), ('charger', 0.02959275819888431, 1.0), ('case', 0.023395714303595265, 1.0), ('charging', 0.012383458930525074, 1.0), ('time', 0.011289599888662565, 1.0), ('hold', 0.00792297794045025, 1.0), ('cable', 0.004885323003416048, 1.0)]"
7,"[('ear', 0.24745923486840246, 1.0), ('size', 0.08341287933049328, 1.0), ('tip', 0.06404172356785787, 1.0), ('fit', 0.043282404633948494, 1.0), ('stay', 0.03504338698838567, 1.0), ('bud', 0.030369445048599668, 1.0), ('fall', 0.025718822986985794, 1.0), ('include', 0.025465593325811456, 1.0), ('miss', 0.021687641613897454, 1.0), ('large', 0.018471247877475522, 1.0)]"
8,"[('use', 0.035189400444916856, 1.0), ('connect', 0.027347397398945747, 1.0), ('disconnect', 0.01979966843003099, 1.0), ('device', 0.01727013688677409, 1.0), ('bluetooth', 0.015356168230416698, 1.0), ('leave', 0.014860016593117956, 1.0), ('blue', 0.012171655703066837, 1.0), ('work', 0.011971721595755234, 1.0), ('easy', 0.010192471695608003, 1.0), ('stop', 0.00907889910913755, 1.0)]"
9,"[('cheap', 0.10496078801583462, 1.0), ('expensive', 0.054353609583587884, 1.0), ('inexpensive', 0.02579989629624346, 1.0), ('pro', 0.02250027973805349, 1.0), ('airpod', 0.017928375153141336, 1.0), ('reasonable', 0.01714212519108886, 1.0), ('wireless', 0.016816644130963683, 1.0), ('air', 0.010157686384565616, 1.0), ('beat', 0.008565516405330646, 1.0), ('apple', 0.008203052212809349, 1.0)]"
